customer,shop,date,month,wday,quantity,billing,datediff_next,max_date
_~_AH,7ti,2018-10-06,10,7,2.39,12.43,0,TRUE
_AJyg,5S8,2018-07-27,7,6,3.54,21.84,0,TRUE
_cFlK,~iy,2018-10-10,10,4,4.616,64.67,0,TRUE
_EO~V,Rtw,2018-10-31,10,4,4.28,44.15,0,TRUE
_EXSy,5S8,2018-06-05,6,3,1,6.95,0,TRUE
_Ii34,7M4,2018-10-31,10,4,3.395,22.2,0,TRUE
_KI52,7M4,2018-10-18,10,5,7.8,23.4,0,TRUE
_kKBr,sN6,2018-08-02,8,5,0.66,14.7,0,TRUE
_knxz,tbv,2018-10-26,10,6,1.264,2.68,0,TRUE
_mBDn,tbv,2018-10-30,10,3,4.556,36.18,0,TRUE
_mSpt,bbb,2018-09-13,9,5,6.08,15.46,0,TRUE
_p0LG,AWT,2018-10-20,10,7,0.425,20.52,0,TRUE
_q8H3,7XS,2018-10-18,10,5,18.12,56.04,0,TRUE
_rAWO,Rtw,2018-10-29,10,2,0.54,4.46,0,TRUE
_TmrR,AWT,2018-10-29,10,2,0.51,11.2,0,TRUE
_TPjG,7ti,2018-10-26,10,6,7.15,55.34,0,TRUE
_upvn,nRq,2018-08-14,8,3,1.05,12,0,TRUE
_vfye,0aM,2018-10-30,10,3,57.4,83.55,0,TRUE
_xUJ9,7XS,2018-10-31,10,4,0.3,3.36,0,TRUE
_ym_z,AWT,2018-10-29,10,2,2.32,10.99,0,TRUE
_ZGza,fDV,2018-10-26,10,6,3,16.95,0,TRUE
~~Z6U,KFW,2018-10-20,10,7,2.736,34.5,0,TRUE
~66fT,7ti,2018-10-23,10,3,5.015,10.65,0,TRUE
~6lia,bbb,2018-10-26,10,6,3.28,30.9,0,TRUE
~9Gl_,AWT,2018-09-20,9,5,1.345,3.83,0,TRUE
~a9zT,nRq,2018-10-19,10,6,0.37,10.29,0,TRUE
~AbvE,7ti,2018-10-29,10,2,4.235,9.48,0,TRUE
~ASFj,Rtw,2018-06-15,6,6,7.775,33.65,0,TRUE
~FAxj,Rtw,2018-10-20,10,7,3.265,26.28,0,TRUE
~FhKG,F50,2018-10-29,10,2,3.44,12.09,0,TRUE
~jAyw,7ti,2018-10-31,10,4,1.56,29.22,0,TRUE
~jVLC,KFW,2018-08-24,8,6,1.432,27.09,0,TRUE
~M1ZM,0aM,2018-10-24,10,4,2.87,14.62,0,TRUE
~mfZq,bbb,2018-10-22,10,2,0.4,5.25,0,TRUE
~nHKY,AWT,2018-07-31,7,3,2.37,0.159999999999999,0,TRUE
~p6mo,7XS,2018-10-30,10,3,3.025,36.8,0,TRUE
~QE1X,KFW,2018-10-29,10,2,1.888,21.27,0,TRUE
~Rwpl,lFX,2018-10-23,10,3,0.482,17.98,0,TRUE
~TW~y,AWT,2018-09-28,9,6,3.91,0.899999999999999,0,TRUE
~WU2I,7ti,2018-10-31,10,4,3.54,23.29,0,TRUE
~XGPH,AWT,2018-10-17,10,4,2,13.5,0,TRUE
~zeko,7M4,2018-09-25,9,3,1.965,14.01,0,TRUE
02FS0,7ti,2018-10-25,10,5,5.245,55.83,0,TRUE
0cnq4,7ti,2018-01-04,1,5,0.56,11.34,0,TRUE
0dYC~,AWT,2018-10-30,10,3,0.27,4.1,0,TRUE
0eVBW,~iy,2018-10-17,10,4,2.458,14.97,0,TRUE
0HMAO,uRf,2018-09-14,9,6,5.065,29.69,0,TRUE
0HqnI,AWT,2018-10-29,10,2,0.295,4.1,0,TRUE
0IWbZ,fDV,2018-05-18,5,6,1.215,28.7,0,TRUE
0rhv5,AWT,2018-10-09,10,3,1.38,11.16,0,TRUE
0T~q0,lFX,2018-10-27,10,7,8.776,75.85,0,TRUE
0vdxA,wdU,2018-10-30,10,3,0,0,0,TRUE
0X1pq,sN6,2018-10-15,10,2,1.46,10.91,0,TRUE
0zDWH,nRq,2018-01-04,1,5,3.275,42.32,0,TRUE
0zGGN,bbb,2018-10-29,10,2,4.26,17.13,0,TRUE
0ZlQ9,7M4,2018-10-22,10,2,0.205,4.61,0,TRUE
1_jPm,KFW,2018-10-20,10,7,3.412,48.01,0,TRUE
11JYo,JFC,2018-10-16,10,3,2.96,26.99,0,TRUE
1293J,bbb,2018-10-30,10,3,12.925,83.73,0,TRUE
13avS,uRf,2018-10-29,10,2,7.845,17.76,0,TRUE
15FDq,7M4,2018-10-13,10,7,1.39,33.34,0,TRUE
16259,fDV,2018-10-24,10,4,0.435,6.53,0,TRUE
1b~lG,Ed0,2018-10-26,10,6,1.01,20.18,0,TRUE
1BHMv,7ti,2018-10-04,10,5,2.505,37.98,0,TRUE
1czwE,fDV,2018-10-31,10,4,1.45,-4.44089209850063e-16,0,TRUE
1daX7,0aM,2018-10-24,10,4,4.518,36.45,0,TRUE
1F244,0aM,2018-10-26,10,6,3,21,0,TRUE
1goHI,bbb,2018-03-12,3,2,6.86,20.29,0,TRUE
1MHak,fDV,2018-10-31,10,4,7.01,62.63,0,TRUE
1PFE5,AWT,2018-10-30,10,3,8.555,55.57,0,TRUE
1qk7c,AWT,2018-03-28,3,4,0.555,11.79,0,TRUE
1RaAB,7ti,2018-10-22,10,2,5.045,25.15,0,TRUE
1RkVQ,~iy,2018-09-10,9,2,5.22,16.9,0,TRUE
1RrWC,Rtw,2018-10-27,10,7,4.08,20.18,0,TRUE
1sw87,AWT,2018-10-15,10,2,0.555,9.4,0,TRUE
2~qCT,~iy,2018-10-22,10,2,0.72,15.03,0,TRUE
23EeY,Rtw,2018-10-26,10,6,3.65,27.82,0,TRUE
27rrR,bbb,2018-10-30,10,3,1.85,12.74,0,TRUE
28Znc,5S8,2018-07-13,7,6,2.76,19.27,0,TRUE
2aaUD,KFW,2018-10-13,10,7,2.498,19.88,0,TRUE
2bA17,7ti,2018-04-07,4,7,1,2.5,0,TRUE
2FZtR,5S8,2018-10-10,10,4,0.55,8.14,0,TRUE
2Gy_c,fDV,2018-09-21,9,6,1.26,36.2,0,TRUE
2kb1f,7ti,2018-10-01,10,2,0.865,29.32,0,TRUE
2lHxB,5S8,2018-10-19,10,6,1.305,13.95,0,TRUE
2mbkw,5S8,2018-09-01,9,7,1.845,19.55,0,TRUE
2n0pE,Rtw,2018-10-06,10,7,5.09,22.93,0,TRUE
2RA~w,5S8,2018-10-20,10,7,2,15.9,0,TRUE
2SQ2E,AWT,2018-10-31,10,4,6.935,82.14,0,TRUE
2xMJX,sN6,2018-10-27,10,7,3.94,25.12,0,TRUE
30Jrh,HYm,2018-09-14,9,6,6,35.7,0,TRUE
31k1b,AWT,2018-09-07,9,6,7.575,182.86,0,TRUE
388ho,tbv,2018-10-24,10,4,0.186,2.38,0,TRUE
3ACdF,7M4,2018-10-31,10,4,0.37,2.57,0,TRUE
3BQeB,5S8,2018-10-24,10,4,2.105,11.62,0,TRUE
3Bvbj,AWT,2018-10-15,10,2,1.26,11.1,0,TRUE
3c4Ye,JFC,2018-10-27,10,7,2.3,11.83,0,TRUE
3cOgh,0aM,2018-10-23,10,3,2.894,48.36,0,TRUE
3div3,tbv,2018-10-25,10,5,3.48,55.56,0,TRUE
3EJqF,bbb,2018-10-31,10,4,2.27,29.57,0,TRUE
3iavD,7M4,2018-09-27,9,5,2.38,10.84,0,TRUE
3Ibxz,KFW,2018-08-30,8,5,10.012,154.71,0,TRUE
3Phk7,7ti,2018-10-30,10,3,4.465,51.13,0,TRUE
3QIil,HYm,2018-10-19,10,6,1.355,21.49,0,TRUE
3QY9g,7ti,2018-08-31,8,6,3,13.95,0,TRUE
3rnzK,0aM,2018-10-13,10,7,4.326,25.07,0,TRUE
3vayJ,fDV,2018-10-31,10,4,2.14,64.83,0,TRUE
3W_V8,bbb,2018-09-21,9,6,1,4.75,0,TRUE
3xgvf,~iy,2018-10-30,10,3,7.72,32.13,0,TRUE
3YLbR,KFW,2018-10-29,10,2,3.67,38.7,0,TRUE
3ze6h,~iy,2018-10-18,10,5,2.244,22.66,0,TRUE
3ZTnE,7ti,2018-10-25,10,5,1,6.95,0,TRUE
40dbF,nRq,2018-10-26,10,6,0.63,8,0,TRUE
41FAT,8TO,2018-10-29,10,2,0.12,1.28,0,TRUE
432Vm,7M4,2018-10-23,10,3,1.165,17.25,0,TRUE
44MSY,fDV,2018-10-31,10,4,3.12,34.92,0,TRUE
45vIi,tbv,2018-09-25,9,3,0.908,22.47,0,TRUE
4657I,5S8,2018-09-25,9,3,4.155,10.89,0,TRUE
46Ux_,KFW,2018-10-03,10,4,2.364,30.84,0,TRUE
4BOB7,5S8,2018-06-22,6,6,1.2,5.93,0,TRUE
4fttX,~iy,2018-10-17,10,4,1.318,8.83,0,TRUE
4g~Ss,AWT,2018-04-12,4,5,1.325,18.05,0,TRUE
4g7Bt,7ti,2018-10-02,10,3,5.235,29.76,0,TRUE
4GPV4,7M4,2018-10-24,10,4,0.565,11.03,0,TRUE
4ipD9,nRq,2018-10-30,10,3,0.325,7.31,0,TRUE
4k06e,Ed0,2018-05-31,5,5,6.235,26.88,0,TRUE
4Ltse,fDV,2018-10-30,10,3,9.565,33.52,0,TRUE
4mnSN,fDV,2018-10-22,10,2,1.78,17.11,0,TRUE
4Qm1Z,fDV,2018-10-19,10,6,0.455,14.44,0,TRUE
4rQqK,tbv,2018-10-26,10,6,1.298,19.07,0,TRUE
4U_BX,J5B,2018-10-31,10,4,1.945,17.15,0,TRUE
4vCO5,AWT,2018-10-24,10,4,1.495,14.28,0,TRUE
4wLDy,tbv,2018-10-30,10,3,1.542,18.26,0,TRUE
4XB5L,7XS,2018-10-16,10,3,0.1,5.5,0,TRUE
4xwaC,7M4,2018-09-19,9,4,4.33,19.22,0,TRUE
4ys7G,Ed0,2018-10-31,10,4,1.495,13.56,0,TRUE
4zARQ,bbb,2018-09-14,9,6,4.64,18.56,0,TRUE
5~_ln,7ti,2018-10-27,10,7,2.885,20.42,0,TRUE
526MT,AWT,2018-09-28,9,6,2.835,23.34,0,TRUE
59ZVx,8TO,2018-09-26,9,4,6,50.48,0,TRUE
5ejVI,7XS,2018-07-05,7,5,1.59,0,0,TRUE
5fiZZ,bbb,2018-09-04,9,3,0.475,9.37,0,TRUE
5gQI2,Ed0,2018-10-29,10,2,3.29,22.63,0,TRUE
5hFek,0aM,2018-10-06,10,7,3.034,31.1,0,TRUE
5hoiI,0aM,2018-10-29,10,2,2.296,17.96,0,TRUE
5iSZ4,KFW,2018-10-30,10,3,2.696,22.85,0,TRUE
5M7LZ,AWT,2018-10-27,10,7,1.895,54.64,0,TRUE
5RJSr,Ed0,2018-06-12,6,3,1.27,18.48,0,TRUE
5s2su,nRq,2018-10-30,10,3,0.455,5.87,0,TRUE
5ssf5,nRq,2018-10-11,10,5,0.245,4.04,0,TRUE
5wbVI,AWT,2018-10-30,10,3,1.18,9.23,0,TRUE
5WtJR,AWT,2018-10-12,10,6,3.755,29.28,0,TRUE
5xFuf,AWT,2018-10-11,10,5,2.03,13.26,0,TRUE
5XGlg,7XS,2018-10-18,10,5,2.945,53.69,0,TRUE
5yzwT,7XS,2018-09-14,9,6,1.945,118.55,0,TRUE
5zEGK,zF~,2018-06-11,6,2,5.235,37.58,0,TRUE
5Zgtj,AWT,2018-10-30,10,3,13.595,83.82,0,TRUE
5zISP,5S8,2018-10-31,10,4,0.42,9.35,0,TRUE
64C3f,7ti,2018-09-22,9,7,1.335,18.55,0,TRUE
64OXJ,0aM,2018-07-11,7,4,5.24,17.73,0,TRUE
65GvP,7ti,2018-10-20,10,7,3,15.95,0,TRUE
65i97,Rtw,2018-10-24,10,4,2.43,9.14,0,TRUE
6a2zP,J5B,2018-10-29,10,2,1.565,23.48,0,TRUE
6cAe5,F50,2018-10-23,10,3,0.57,5.9,0,TRUE
6Cw0m,~iy,2018-10-29,10,2,1.752,13.3,0,TRUE
6Dlgm,~iy,2018-10-29,10,2,5.85,75.71,0,TRUE
6KWn0,AWT,2018-10-18,10,5,3.865,20.78,0,TRUE
6NIyd,5S8,2018-10-26,10,6,1.14,19.38,0,TRUE
6O~33,AWT,2018-09-20,9,5,8.78,66.27,0,TRUE
6pwQu,zF~,2018-09-21,9,6,5.595,31.99,0,TRUE
6qGRU,AWT,2018-09-19,9,4,2.41,23.38,0,TRUE
6tWF4,fDV,2018-10-20,10,7,15.35,59.91,0,TRUE
6v4_~,uRf,2018-10-31,10,4,5.76,19.86,0,TRUE
6xJne,nRq,2018-08-31,8,6,0.755,10.94,0,TRUE
6Y0Dz,7XS,2018-10-16,10,3,0.495,19.2,0,TRUE
6YTuC,fDV,2018-10-26,10,6,1,1.95,0,TRUE
6ZVfU,7ti,2018-06-15,6,6,1.45,17.79,0,TRUE
75QkL,7ti,2018-05-15,5,3,2,7,0,TRUE
78oIS,tbv,2018-10-20,10,7,1.648,6.76,0,TRUE
7arD1,AWT,2018-08-22,8,4,12,4.8,0,TRUE
7D~C8,fDV,2017-12-28,12,5,0.13,1.55,0,TRUE
7EF2k,0aM,2018-10-31,10,4,2.586,14.28,0,TRUE
7ePWK,sN6,2018-10-30,10,3,3.84,18.2,0,TRUE
7g46B,F50,2018-10-26,10,6,3.21,10.7,0,TRUE
7GEKe,7ti,2018-10-18,10,5,6.695,95.45,0,TRUE
7j9jk,~iy,2018-10-29,10,2,3.882,12.01,0,TRUE
7Ja9d,~iy,2018-10-25,10,5,4.132,23.92,0,TRUE
7jDRO,fDV,2018-10-24,10,4,7.245,42.81,0,TRUE
7jerz,5S8,2018-10-30,10,3,3.455,31.93,0,TRUE
7JpLx,fDV,2018-10-20,10,7,2.625,39.54,0,TRUE
7MNtn,~iy,2018-05-18,5,6,0.926,13.21,0,TRUE
7qJLe,fDV,2018-09-03,9,2,0.905,13,0,TRUE
7r0Sj,~iy,2018-10-30,10,3,0.312,4.28,0,TRUE
7SEGm,0aM,2018-10-27,10,7,1.484,21.46,0,TRUE
7Tgsp,bbb,2018-08-28,8,3,0.57,13.91,0,TRUE
7TQlg,7ti,2018-10-31,10,4,2.425,16.1,0,TRUE
7WDNd,5S8,2018-10-23,10,3,0.17,9.69,0,TRUE
7wEKi,7XS,2018-10-24,10,4,0.21,11.55,0,TRUE
7WUyJ,7XS,2018-10-05,10,6,0.445,5.39,0,TRUE
80UpJ,~iy,2018-10-11,10,5,2.878,30.9,0,TRUE
85_AB,KFW,2018-10-22,10,2,3.522,18.32,0,TRUE
87htN,Rtw,2018-10-11,10,5,1.495,29.44,0,TRUE
88VoC,bbb,2018-09-14,9,6,3.49,12.81,0,TRUE
8AXUX,~iy,2018-10-16,10,3,1.812,10.01,0,TRUE
8B4my,sN6,2018-10-31,10,4,3.97,11.19,0,TRUE
8beOS,7M4,2018-09-01,9,7,1.415,11.84,0,TRUE
8cORj,~iy,2018-10-26,10,6,4.08,17.88,0,TRUE
8gkxS,7XS,2018-10-31,10,4,2.76,48.68,0,TRUE
8gnU1,7ti,2018-10-18,10,5,1.42,6.27,0,TRUE
8H360,~iy,2018-10-01,10,2,5.558,31.8,0,TRUE
8h9Ik,AWT,2018-09-18,9,3,1.34,11.52,0,TRUE
8hfa_,8TO,2018-10-27,10,7,2.825,17.4,0,TRUE
8LfQs,lFX,2018-09-19,9,4,0.696,17.7,0,TRUE
8LWb5,AWT,2018-10-18,10,5,6.595,43.75,0,TRUE
8m~qD,F50,2018-10-27,10,7,4.915,31.95,0,TRUE
8MQWv,nRq,2018-10-30,10,3,0.39,3.84,0,TRUE
8PsaM,7ti,2018-08-31,8,6,4,8.05,0,TRUE
8spwt,JFC,2018-10-15,10,2,2.255,8.12,0,TRUE
8tR5Y,AWT,2018-10-22,10,2,3.705,46.93,0,TRUE
8yvfG,0aM,2018-10-03,10,4,6.558,60.41,0,TRUE
9_Owp,uRf,2018-10-26,10,6,6.095,25.72,0,TRUE
9_Vqq,~iy,2018-10-20,10,7,4.046,66.81,0,TRUE
9BOMA,nRq,2018-10-23,10,3,2.5,17.55,0,TRUE
9gWxq,7ti,2018-10-16,10,3,15.135,61.26,0,TRUE
9hTO3,lFX,2018-10-29,10,2,0.2,39,0,TRUE
9I2cp,AWT,2018-10-24,10,4,3.72,19.94,0,TRUE
9I5iO,~iy,2018-10-19,10,6,1,4.5,0,TRUE
9Ixl1,tbv,2018-10-27,10,7,0.982,9.56,0,TRUE
9J8hU,5S8,2018-10-20,10,7,4.18,43.88,0,TRUE
9MY~c,F50,2018-08-03,8,6,3.245,16.26,0,TRUE
9nvNQ,lFX,2018-10-30,10,3,1.362,27.04,0,TRUE
9qcgF,KFW,2018-10-30,10,3,8.334,53.52,0,TRUE
9rJRe,5S8,2018-10-29,10,2,4.56,19.84,0,TRUE
9u2LY,7ti,2018-10-24,10,4,5,22.35,0,TRUE
9ugyo,F50,2018-10-29,10,2,0.765,6.27,0,TRUE
9UyLv,~iy,2018-06-22,6,6,2,4,0,TRUE
9W4i_,AWT,2018-10-31,10,4,2.295,11.99,0,TRUE
9YdHb,bbb,2018-09-27,9,5,4.485,13.34,0,TRUE
9yxto,AWT,2018-08-22,8,4,7.54,50.31,0,TRUE
a_2yD,HYm,2018-10-27,10,7,0.7,18.41,0,TRUE
A0lKH,nRq,2018-10-19,10,6,1.075,14.23,0,TRUE
a1pMb,~iy,2018-10-19,10,6,5.28,41.42,0,TRUE
A1rzd,HYm,2018-10-26,10,6,0.495,6.88,0,TRUE
A2hN9,7XS,2018-10-26,10,6,2.47,22.68,0,TRUE
A35wJ,AWT,2018-08-24,8,6,3.58,25.72,0,TRUE
A3rYP,7ti,2018-02-20,2,3,4.98,15.87,0,TRUE
A3YHZ,sN6,2018-10-31,10,4,2.8,11.64,0,TRUE
A5SJI,AWT,2018-09-05,9,4,1.27,10.98,0,TRUE
a5xOU,Rtw,2018-09-15,9,7,4.245,11.51,0,TRUE
a7Cwa,7ti,2018-10-15,10,2,1.61,8.59,0,TRUE
aCDho,AWT,2018-10-25,10,5,5.335,25.3,0,TRUE
AdvwJ,Rtw,2018-10-15,10,2,3.195,18.62,0,TRUE
aEF64,fDV,2018-10-25,10,5,1,1.95,0,TRUE
aFOcS,7M4,2018-10-30,10,3,1.155,7.38,0,TRUE
Ag2Uo,fDV,2018-10-24,10,4,0.505,6.83,0,TRUE
aGLPp,AWT,2018-10-31,10,4,5.345,36.21,0,TRUE
aGvhw,JFC,2018-09-18,9,3,2.195,9.34,0,TRUE
Ajjgx,8TO,2018-10-31,10,4,0.74,14.31,0,TRUE
ajRX6,~iy,2018-10-16,10,3,1.83,35.07,0,TRUE
al8MJ,uRf,2018-10-22,10,2,2.515,7.76,0,TRUE
albHS,KFW,2018-10-31,10,4,2.64,29.98,0,TRUE
AndiP,AWT,2018-05-05,5,7,1.83,9.39,0,TRUE
APAfN,8TO,2018-09-19,9,4,0.425,1.24,0,TRUE
apkMj,8TO,2018-10-26,10,6,7.95,65.89,0,TRUE
aqcfg,7XS,2018-10-11,10,5,0.495,12.27,0,TRUE
aqERC,7ti,2018-10-31,10,4,4.24,13.24,0,TRUE
aqFNk,~iy,2018-09-18,9,3,3.192,37.18,0,TRUE
AQKzT,0aM,2018-10-30,10,3,3.896,48.33,0,TRUE
ASDMO,fDV,2018-10-18,10,5,0.765,14.07,0,TRUE
aSO3F,AWT,2018-10-19,10,6,3.44,29.35,0,TRUE
aUspH,5S8,2018-10-04,10,5,4.61,30.85,0,TRUE
aV2LP,sN6,2018-10-01,10,2,2.425,22.01,0,TRUE
AW~2s,AWT,2018-01-30,1,3,2.65,4.69,0,TRUE
AYxkJ,0aM,2018-10-25,10,5,2,17.5,0,TRUE
b_7oM,7ti,2018-09-24,9,2,1.745,16.47,0,TRUE
B_ryf,fDV,2018-10-29,10,2,0.17,7.65,0,TRUE
b1Gb3,AWT,2018-10-30,10,3,1.635,17.27,0,TRUE
B2Rlr,KFW,2018-10-25,10,5,2.53,16.9,0,TRUE
b50BK,Rtw,2018-08-14,8,3,2.59,14.3,0,TRUE
b51YU,Rtw,2018-10-20,10,7,2.415,14.27,0,TRUE
B5XKU,5S8,2018-07-23,7,2,1.44,6.56,0,TRUE
b6CHw,5S8,2018-10-05,10,6,3.195,47.12,0,TRUE
b7pyr,7M4,2018-05-18,5,6,8.71,37.61,0,TRUE
B8NSV,Rtw,2018-10-22,10,2,1.02,8.43,0,TRUE
B9YRT,uRf,2018-06-11,6,2,1.23,2.26,0,TRUE
Ba2XN,7XS,2018-09-18,9,3,5.15,11.5,0,TRUE
BAZKn,KFW,2018-10-16,10,3,4.26,64.7,0,TRUE
bDA3f,7ti,2018-09-22,9,7,2.11,41.92,0,TRUE
bETJp,Rtw,2018-10-27,10,7,0.31,11.32,0,TRUE
Bf74v,5S8,2018-10-26,10,6,1.33,44.42,0,TRUE
BFHKl,7XS,2018-10-25,10,5,4.76,64.18,0,TRUE
bFIug,nRq,2018-04-21,4,7,3.485,27.89,0,TRUE
bFnDv,0aM,2018-10-31,10,4,4.392,43.84,0,TRUE
Bg9db,8TO,2018-09-22,9,7,0.1,4.75,0,TRUE
BHy4L,0aM,2018-10-13,10,7,9.19,89.03,0,TRUE
bInCX,fDV,2018-10-25,10,5,11.895,158.92,0,TRUE
